Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
520.597452250,0,0,0,0,0,1,1,1
520.597457292,0,0,0,1,0,1,1,1
520.597613292,0,0,0,0,0,1,1,1
520.597619333,0,0,0,0,1,1,1,1
520.597714917,0,0,0,0,0,1,1,1
520.597720958,0,0,0,0,1,1,1,1
520.597743125,0,0,0,0,0,1,1,1
520.597772292,0,1,0,0,0,1,1,1
520.597873958,0,0,0,0,0,1,1,1
520.597912208,0,0,1,0,0,1,1,1
520.599198375,0,0,0,0,0,1,1,1
520.599203417,0,0,0,1,0,1,1,1
520.599361417,0,0,0,0,0,1,1,1
520.599367458,0,0,0,0,1,1,1,1
520.599463042,0,0,0,0,0,1,1,1
520.599469083,0,0,0,0,1,1,1,1
520.599491250,0,0,0,0,0,1,1,1
520.599520417,0,1,0,0,0,1,1,1
520.599622042,0,0,0,0,0,1,1,1
520.599660292,0,0,1,0,0,1,1,1
520.600946458,0,0,0,0,0,1,1,1
520.600951500,0,0,0,1,0,1,1,1
520.601107458,0,0,0,0,0,1,1,1
520.601113500,0,0,0,0,1,1,1,1
520.601209125,0,0,0,0,0,1,1,1
520.601215167,0,0,0,0,1,1,1,1
520.601237292,0,0,0,0,0,1,1,1
520.601266458,0,1,0,0,0,1,1,1
520.601368125,0,0,0,0,0,1,1,1
520.601406333,0,0,1,0,0,1,1,1
520.602692500,0,0,0,0,0,1,1,1
520.602697542,0,0,0,1,0,1,1,1
520.602855542,0,0,0,0,0,1,1,1
520.602861542,0,0,0,0,1,1,1,1
520.602957167,0,0,0,0,0,1,1,1
520.602963208,0,0,0,0,1,1,1,1
520.602985333,0,0,0,0,0,1,1,1
520.603014542,0,1,0,0,0,1,1,1
520.603116167,0,0,0,0,0,1,1,1
520.603154417,0,0,1,0,0,1,1,1
520.604440625,0,0,0,0,0,1,1,1
520.604445667,0,0,0,1,0,1,1,1
520.604601625,0,0,0,0,0,1,1,1
520.604607667,0,0,0,0,1,1,1,1
520.604703292,0,0,0,0,0,1,1,1
520.604709333,0,0,0,0,1,1,1,1
520.604731458,0,0,0,0,0,1,1,1
520.604760667,0,1,0,0,0,1,1,1
520.604862292,0,0,0,0,0,1,1,1
520.604900542,0,0,1,0,0,1,1,1
520.606186708,0,0,0,0,0,1,1,1
520.606191750,0,0,0,1,0,1,1,1
520.606349750,0,0,0,0,0,1,1,1
520.606355792,0,0,0,0,1,1,1,1
520.606451417,0,0,0,0,0,1,1,1
520.606457458,0,0,0,0,1,1,1,1
520.606479583,0,0,0,0,0,1,1,1
520.606508792,0,1,0,0,0,1,1,1
520.606610417,0,0,0,0,0,1,1,1
520.606648667,0,0,1,0,0,1,1,1
520.607934750,0,0,0,0,0,1,1,1
520.607939792,0,0,0,1,0,1,1,1
520.608095750,0,0,0,0,0,1,1,1
520.608101792,0,0,0,0,1,1,1,1
520.608197417,0,0,0,0,0,1,1,1
520.608203458,0,0,0,0,1,1,1,1
520.608225583,0,0,0,0,0,1,1,1
520.608254750,0,1,0,0,0,1,1,1
520.608356417,0,0,0,0,0,1,1,1
520.608394667,0,0,1,0,0,1,1,1
520.609680750,0,0,0,0,0,1,1,1
520.609685792,0,0,0,1,0,1,1,1
520.609843792,0,0,0,0,0,1,1,1
520.609849833,0,0,0,0,1,1,1,1
520.609945458,0,0,0,0,0,1,1,1
520.609951500,0,0,0,0,1,1,1,1
520.609973625,0,0,0,0,0,1,1,1
520.610002792,0,1,0,0,0,1,1,1
520.610104458,0,0,0,0,0,1,1,1
520.610142708,0,0,1,0,0,1,1,1
520.611428833,0,0,0,0,0,1,1,1
520.611433833,0,0,0,1,0,1,1,1
520.611589833,0,0,0,0,0,1,1,1
